,sell_price,rent_price,net_area,gross_area,effi_ratio,layout,orit,upd_dt,ttl_flt,prop_val,rpy_prd,inc_reqr,addr,latitude,longitude
8222,12.8,,587.0,704.0,83.0,2.0,South,2019-05-20,440.0,12800000.0,30,59730.0, 6 PARK ROAD,22.2839,114.14439
8223,9.6,,465.0,626.0,74.0,2.0,Southwest,2019-05-19,880.0,9600000.0,30,46664.0, 11 HOI FAN ROAD,22.3200577,114.1575242
8224,6.18,,382.0,528.0,72.0,2.0,,2019-05-18,2016.0,6180000.0,30,34606.0, 3 NGAU TAU KOK ROAD,22.3144587,114.2233052
8225,4.5,,,,,,,2019-05-13,,4500000.0,30,25199.0,,22.2793278,
8226,198.0,,3914.0,4868.0,80.0,3.0,East,2019-05-15,21.0,198000000.0,30,923953.0, 12 CARMEL ROAD,22.2218215,114.2079152
8227,7.9,,254.0,396.0,64.0,,,2019-05-19,64.0,7900000.0,30,44238.0, 5-13 NEW STREET,22.2858375,114.1467156
8228,8.68,,596.0,807.0,74.0,3.0,,2019-05-15,796.0,8680000.0,30,46664.0, 3 SHEUNG LOK STREET,22.3144199,114.183212996846
8229,7.3,,663.0,944.0,70.0,,,2019-04-21,4176.0,7300000.0,30,40878.0, 6 NGAU PEI SHA STREET,22.3789768,114.2082618
8230,8.68,,682.0,848.0,80.0,3.0,Southwest,2019-05-19,3360.0,8680000.0,30,46664.0, 398 CASTLE PEAK ROAD TSUEN WAN,22.374303100000002,114.1143807
8231,13.8,,837.0,933.0,90.0,,,2019-04-04,8182.0,13800000.0,30,64397.0,,22.2793278,
8232,6.2,,428.0,,,,,2019-03-08,1129.0,6200000.0,30,34718.0, 38 YUEN LONG ON NING ROAD,22.445954999999998,114.0225629
8233,5.2,,554.0,712.0,78.0,,,2019-04-22,1050.0,5200000.0,30,29119.0, 74-78 SIU LEK YUEN ROAD,22.3878881,114.2045098
8234,11.0,,400.0,510.0,78.0,,,2019-05-15,740.0,11000000.0,30,51331.0, 1 YAU CHEUNG ROAD,22.3088233,114.1664056
8235,13.9,,494.0,718.0,69.0,2.0,West,2019-05-18,988.0,13900000.0,30,64863.0, 188 CANTON ROAD,22.321643899999998,114.1666295
8236,12.8,,898.0,1153.0,78.0,,,2019-05-17,1890.0,12800000.0,30,59730.0, 9 YUEN LUNG STREET,22.4444208,114.0370964
8237,16.5,,1347.0,1560.0,86.0,,,2019-02-25,8182.0,16500000.0,30,76996.0,,22.2793278,
8238,43.8,,2461.0,4024.0,61.0,5.0,,2019-04-13,535.0,43800000.0,30,204390.0, 23 SAM MUN TSAI ROAD,22.45593845,114.213860024839
8239,13.5,,907.0,,,,,2019-05-20,546.0,13500000.0,30,62997.0, 23 FO CHUN ROAD,22.4317126,114.2033784
8240,22.0,,802.0,1039.0,77.0,3.0,,2019-05-08,184.0,22000000.0,30,102661.0, 180 JAVA ROAD,22.2919756,114.1986144
8241,10.5,,774.0,993.0,78.0,3.0,East,2019-05-17,2569.0,10500000.0,30,48998.0, 8 PAK LAI ROAD,22.3542201,114.0620042
8242,17.0,,574.0,748.0,77.0,2.0,West,2019-04-26,864.0,17000000.0,30,79329.0, 28 TAI ON STREET,22.282772199999997,114.222974
8243,22.8,,1028.0,1327.0,77.0,,,2019-05-20,1080.0,22800000.0,30,106395.0, 83 TUEN MUN HEUNG SZE WUI ROAD,22.3958081,113.974076675649
8244,4.4,,443.0,583.0,76.0,2.0,Northwest,2019-05-11,1428.0,4400000.0,30,24639.0, 2 TIN KING ROAD,22.405430600000003,113.9638478
8245,17.5,,757.0,923.0,82.0,3.0,Northwest,2019-05-16,6648.0,17500000.0,30,81662.0," 6-16 HONG ON STREET, 1-31 HONG SHING STREET, 31-45 HONG YUE STREET",,
8246,5.88,,460.0,573.0,80.0,3.0,Northwest,2019-05-17,4516.0,5880000.0,30,32926.0, 86-105 TSUEN KING CIRCUIT,22.376395600000002,114.1105567
8247,4.98,,216.0,356.0,61.0,,,2019-05-19,44.0,4980000.0,30,27887.0, 38 KO SHING STREET,22.287129999999998,114.1459762
